IBI ITEMS;;;
ITEM;SELLING PRICE;CATEGORY;DEPARTMENT
croissant vide;3000;patisserie;kitchen
captain grile;25000;main course;kitchen
1/2 kg birthday gateau;40000;patisserie;kitchen
pommes fritte;6000;accompaniments;kitchen
poulet spring roll;5000;snacks;kitchen
boeuf samosa;5000;snacks;kitchen
fish goujons;10000;snacks;kitchen
steak au poivre;20000;main course;kitchen
brochette de poulet;16000;main course;kitchen
filet mignon de boeuf;18000;main course;kitchen
merguet;7000;snacks;kitchen
african tea;5000;tea;coffee shop
tranche avocado;2000;snacks;kitchen
Avocat entrier;4000;snacks;kitchen
african coffee;5000;coffee;coffee shop
spanish omelet;10000;breakfast;kitchen
oeuf sur plat tourne;10000;breakfast;kitchen
fritte banane;6000;accompaniments;kitchen
peas & potato curry;10000;indian cuisine;kitchen
kuhe ;30000;main course;kitchen
brochette de boeuf;19000;main course;kitchen
boeuf entrecote;18000;main course;kitchen
prime t bone;25000;main course;kitchen
grilled pork chops;24000;main course ;kitchen
lamp chops;20000;main course ;kitchen
rack of lamb (for two people);40000;main course;kitchen
croque monsieur;8000;main course;kitchen
Croque madame;8000;main course;kitchen
crepes;2500;main course;kitchen
merguez;5000;snacks;kitchen
fish finger;10000;snacks;kitchen
boulette de viande;10000;snacks;kitchen
muffins;3000;patisserie;kitchen
toast au fromage fondu;4000;snacks;kitchen
toast au champignon;4000;snacks;kitchen
assiette au fromage gouda;5000;snacks;kitchen
baguette locale;2500;take away;kitchen
pain coupe 400gr;3000;take away;kitchen
pain coupe 800gr;6000;take away;kitchen
pain gris coupe 400gr;4000;take away;kitchen
petits pain ronds;1500;take away;kitchen
Chateau marlene chardonnay;60000;white wines;main bar
Chateau marlene chardonnay;60000;#white wines;coffee shop
Chateau marlene cabernet Sauvignon;50000;white wines;main bar
Chateau marlene cabernet Sauvignon;50000;#white wines;coffee shop
Chateau Marlene Merlot;50000;white wines;main bar
Chateau Marlene Merlot;50000;#white wines;main bar
Glass of house wine;14000;wine by glass;main bar
Glass of house wine;14000;#wine by glass;coffee shop
Gaufres (waffles);3000;patisserie;kitchen
