PRODUIT,CATEGORIE,PRIX,DEPARTEMENT
COSMOPOLITAN,Alcoholic Cocktails ,12500,BAR
ZANZI MOJITO,Alcoholic Cocktails ,12000,BAR
CUCUMBER MINT MARTINI,Alcoholic Cocktails ,12000,BAR
AMARICANO,Alcoholic Cocktails ,13000,BAR
SIDE CAR,Alcoholic Cocktails ,20000,BAR
CAIPROSKA,Alcoholic Cocktails ,11000,BAR
LYNCHBERY LEMONADE,Alcoholic Cocktails ,17000,BAR
FROZEN STRAWBERRY MARGARITA,Alcoholic Cocktails ,13000,BAR
MARGARITA {SHAKEN OR FROZEN},Alcoholic Cocktails ,12000,BAR
COFFEE ALEXANDER,Alcoholic Cocktails ,15000,BAR
PINACOLADA,Alcoholic Cocktails ,16000,BAR
AMERICANO,Alcoholic Cocktails ,13000,BAR
RED LION,Alcoholic Cocktails ,20000,BAR
LONG ISLAND ICED TEA,Alcoholic Cocktails ,16000,BAR
MOSCOW MULE,Alcoholic Cocktails ,13000,BAR
WHISKEY SOUR,Alcoholic Cocktails ,13000,BAR
UMUTI,Alcoholic Cocktails ,13000,BAR
SPRING BOK,SHOOTERS,6000,BAR
SLIPPERY NIPPLE,SHOOTERS,6000,BAR
B 52,SHOOTERS,7000,BAR
KAMIKAZE,SHOOTERS,5000,BAR
BABY GUINESS ,SHOOTERS,6000,BAR
FRUIT PUNCH,MOCKTAILS ,7000,BAR
CINDERELLA,MOCKTAILS ,6000,BAR
VIRGIN MOJITO,MOCKTAILS ,6000,BAR
SUNSET,MOCKTAILS ,7000,BAR
VIRGIN COLADA ,MOCKTAILS ,10000,BAR
SHIRLEYTEMPLE ,MOCKTAILS ,5500,BAR
THE ZANZI DELIGHT ,MOCKTAILS ,7000,BAR
AFTERGROW,MOCKTAILS ,7000,BAR
AMSTEL ROYAL,"BEERS, STAUTS & ALCO",3500,BAR
AMSTEL 50CL,"BEERS, STAUTS & ALCO",3500,BAR
AMSTEL BOCK,"BEERS, STAUTS & ALCO",3500,BAR
PRIMUS,"BEERS, STAUTS & ALCO",3500,BAR
DRAUGHT BEER AMSTEL,"BEERS, STAUTS & ALCO",3500,BAR
DRAUGHT BEER ROYAL,"BEERS, STAUTS & ALCO",3500,BAR
HEINNEKEN,"BEERS, STAUTS & ALCO",3500,BAR
GUINNESS,"BEERS, STAUTS & ALCO",6500,BAR
SMIRNOFF ICE,"BEERS, STAUTS & ALCO",6000,BAR
SMIRNOFF GUARANA,"BEERS, STAUTS & ALCO",6000,BAR
LEFFE,"BEERS, STAUTS & ALCO",10000,BAR
XPLOZA,"BEERS, STAUTS & ALCO",6000,BAR
WINDHOEK,"BEERS, STAUTS & ALCO",6000,BAR
SAVANNA,"BEERS, STAUTS & ALCO",6000,BAR
SPARKLING WATER 400 CL,SOFT DRINK & ENERGY,2500,BAR
PURE WATER SMALL 600 CL,SOFT DRINK & ENERGY,2000,BAR
CITRON ,SOFT DRINK & ENERGY,2000,BAR
COCA COLA/ ZERO,SOFT DRINK & ENERGY,2000,BAR
SPRITE,SOFT DRINK & ENERGY,2000,BAR
VIVA,SOFT DRINK & ENERGY,2000,BAR
BAVARIA,SOFT DRINK & ENERGY,5000,BAR
FRUITO,SOFT DRINK & ENERGY,2500,BAR
RED BULL,SOFT DRINK & ENERGY,2500,BAR
HENNESSEY V.S.O.P SINGLE,BRANDY & COCGNAC,18000,BAR
HENNESSEY  SINGLE,BRANDY & COCGNAC,15000,BAR
MARTEL VS SINGLE,BRANDY & COCGNAC,15000,BAR
MARTEL V.S.O.P SINGLE,BRANDY & COCGNAC,18000,BAR
REMMY MARTIN V.S.O.P SINGLE,BRANDY & COCGNAC,30000,BAR
COURVIOISIER V.S.O.P SINGLE,BRANDY & COCGNAC,16000,BAR
KWV BRANDY SINGLE,BRANDY & COCGNAC,8000,BAR
HENNESSEY V.S.O.P BOTTLE,BRANDY & COCGNAC,280000,BAR
HENNESSEY  BOTTLE,BRANDY & COCGNAC,250000,BAR
MARTEL VS BOTTLE,BRANDY & COCGNAC,250000,BAR
MARTEL V.S.O.P BOTTLE,BRANDY & COCGNAC,280000,BAR
REMMY MARTIN V.S.O.P BOTTLE,BRANDY & COCGNAC,450000,BAR
COURVIOISIER V.S.O.P BOTTLE,BRANDY & COCGNAC,230000,BAR
KWV BRANDY BOTTLE,BRANDY & COCGNAC,145000,BAR
DISARANNO SINGLE,LIQUEUR,7000,BAR
DISARANNO BOTTLE,LIQUEUR,100000,BAR
